Address, Area, Size(in m^2), Price(in NOK), Bedrooms 
Welhavens gate 10, Oslo,69 ,6 250 000,2
Ullevålsveien 97C, Oslo,57 ,4 690 000,2
Oskar Braatens gate 4 A, Oslo,47 ,3 950 000,1
Haugerudveien 89, Oslo,60 ,3 950 000,2
Olaf Bulls vei 12, Oslo,65 ,4 075 000,1
Holmenkollveien 129A, Oslo,360 ,19 000 000,5
Thereses gate 13 B, Oslo,77 ,7 490 000,2
Uranienborgveien 29, Oslo,21 ,2 390 000,NaN
Hans Nordahls gate 18, Oslo,46 ,4 800 000,1
Urtegata 48A, Oslo,97 ,9 250 000,3
Fossveien 13A, Oslo,45 ,4 390 000,1
Hellerudstubben 20B, Oslo,90 ,5 900 000,3
Sophus Lies gate 10, Oslo,117 ,11 950 000,2
Ullernchausséen 110, Oslo,167 ,8 500 000,4
Finnmarkgata 42, Oslo,56 ,3 750 000,1
Ingeniørveien 6, Oslo,76 ,3 030 000,2
Birger Olivers vei 12 A, Oslo,88 ,7 490 000,2
Lindeberglia 26, Oslo,33 ,2 500 000,NaN
Johan Sverdrups vei 33A, Oslo,168 ,11 500 000,3
Anna Sethnes gate 2D, Oslo,39 ,3 640 000,NaN
Sons gate 7A, Oslo,70 ,5 500 000,3
Freserveien 29, Oslo,95 ,5 359 000,2
Akerlia 23, Oslo,65 ,3 450 000,2
Telemarksvingen 10, Oslo,47 ,3 950 000,1
Frederik Stangs gate 35, Oslo,39 ,4 350 000,1
Skullerudskogen 19 D, Oslo,44 ,2 450 000,1
Casparis gate 5, Oslo,57 ,4 930 000,2
Jerpefaret 8E, Oslo,164 ,12 200 000,5
Høybråtenveien 1F, Oslo,82 ,3 100 000,2
Agmund Bolts vei 11, Oslo,61 ,3 590 000,2
Sigurd Hoels vei 15, Oslo,47 ,4 390 000,1
Brattvollveien 22, Oslo,67 ,4 200 000,2
Lindebergåsen 66C, Oslo,48 ,3 000 000,1
Grusveien 44, Oslo,72 ,4 590 000,3
Gunnar Schjelderups vei 11C, Oslo,67 ,5 900 000 ,NaN
Fagerliveien 35, Oslo,153 ,11 500 000,2
Thomas Heftyes gate 60A, Oslo,142 ,12 950 000,3
Waldemar Thranes gate 65C, Oslo,65 ,6 200 000,2
Marstrandgata 15, Oslo,48 ,3 500 000,1
Mina Beiteplukksvei 155A, Oslo,52 ,2 990 000,2
Fagerheimgata 14B, Oslo,47 ,4 275 000,1
Stensgata 38A, Oslo,72 ,6 250 000,2
Vækerøveien 118 A, Oslo,64 ,4 800 000,1
Huitfeldts gate 15, Oslo,54 ,6 650 000,1
Peter Møllers vei 6A, Oslo,85 ,7 500 000,3
Huitfeldts gate 15, Oslo,74 ,7 990 000,2
Maridalsveien 154A, Oslo,51 ,3 850 000,1
Mellombølgen 20, Oslo,54 ,3 250 000,1
Maridalsveien 236, Oslo,98 ,6 100 000,2
Ensjøveien 4 (Tøyentaket bygg A), Oslo,34 ,1 147 500 ,NaN
 Torshovhøyden, Oslo,78 ,10 000 000 ,NaN
